task,obs_mode,temporal_mode,action_input,action_embedding_dim,best_memoryless_accuracy,best_recurrent_model,best_recurrent_accuracy,memory_advantage
shortcut_tree_050,hybrid,temporal_cue_then_blank,one_hot,0,0.8444444444444444,numpy_rnn,0.8611111111111112,0.01666666666666672
shortcut_tree_050,hybrid,temporal_dropout,one_hot,0,0.8444444444444444,lin_block_r3_l2,0.8555555555555555,0.011111111111111072
shortcut_tree_050,hybrid,temporal_full,one_hot,0,0.8444444444444444,lin_sequence_front_bands_r5_l4,0.8574074074074073,0.012962962962962843
shortcut_tree_050,sparse_aliased,temporal_cue_then_blank,one_hot,0,0.8444444444444444,lin_sequence_front_bands_r1_l4,0.861111111111111,0.016666666666666607
shortcut_tree_050,sparse_aliased,temporal_dropout,one_hot,0,0.8444444444444444,lin_block_r3_l4,0.85,0.005555555555555536
shortcut_tree_050,sparse_aliased,temporal_full,one_hot,0,0.8444444444444444,lin_block_r3_l8,0.8555555555555556,0.011111111111111183
shortcut_tree_050,vector,temporal_cue_then_blank,one_hot,0,0.8444444444444444,lin_sequence_front_bands_r3_l4,0.8574074074074073,0.012962962962962843
shortcut_tree_050,vector,temporal_dropout,one_hot,0,0.8444444444444444,lin_block_r1_l4,0.85,0.005555555555555536
shortcut_tree_050,vector,temporal_full,one_hot,0,0.8444444444444444,lin_block_r1_l4,0.8555555555555555,0.011111111111111072
shortcut_tree_100,egocentric_landmark,temporal_cue_then_blank,one_hot,0,0.6666666666666667,lin_block_r1_l2,0.6666666666666667,0.0
shortcut_tree_100,egocentric_landmark,temporal_dropout,one_hot,0,0.6722222222222223,lin_sequence_front_bands_r3_l8,0.6777777777777777,0.005555555555555425
shortcut_tree_100,egocentric_landmark,temporal_full,one_hot,0,0.6611111111111112,lin_block_r1_l4,0.6722222222222223,0.011111111111111072
shortcut_tree_100,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.6666666666666667,reservoir_diagonal,0.6759259259259259,0.00925925925925919
shortcut_tree_100,gaussian_sensory,temporal_dropout,one_hot,0,0.6444444444444445,numpy_rnn,0.6777777777777778,0.033333333333333326
shortcut_tree_100,gaussian_sensory,temporal_full,one_hot,0,0.6555555555555556,numpy_rnn,0.6722222222222223,0.01666666666666672
shortcut_tree_100,hybrid,temporal_cue_then_blank,one_hot,0,0.6666666666666667,lin_sequence_front_bands_r1_l2,0.6703703703703704,0.0037037037037036535
shortcut_tree_100,hybrid,temporal_dropout,one_hot,0,0.6777777777777778,numpy_rnn,0.6833333333333333,0.005555555555555536
shortcut_tree_100,hybrid,temporal_full,one_hot,0,0.6611111111111112,numpy_rnn,0.6777777777777778,0.016666666666666607
shortcut_tree_100,sparse_aliased,temporal_cue_then_blank,one_hot,0,0.6666666666666667,lin_sequence_front_bands_r5_l8,0.6703703703703704,0.0037037037037036535
shortcut_tree_100,sparse_aliased,temporal_dropout,one_hot,0,0.6666666666666667,numpy_rnn,0.6777777777777778,0.011111111111111072
