task,obs_mode,temporal_mode,action_input,action_embedding_dim,best_memoryless_accuracy,best_recurrent_model,best_recurrent_accuracy,memory_advantage
torus_lattice,gaussian_sensory,temporal_cue_then_blank,embedding,8,0.34090909090909094,reservoir_diagonal,0.4696969696969697,0.12878787878787878
torus_lattice,gaussian_sensory,temporal_cue_then_blank,none,0,0.3181818181818182,numpy_rnn,0.4090909090909091,0.09090909090909094
torus_lattice,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.3181818181818182,reservoir_diagonal,0.5378787878787878,0.21969696969696967
torus_lattice,gaussian_sensory,temporal_dropout,embedding,8,0.36363636363636365,reservoir_diagonal,0.4318181818181818,0.06818181818181818
torus_lattice,gaussian_sensory,temporal_dropout,none,0,0.38636363636363635,numpy_rnn,0.4090909090909091,0.022727272727272763
torus_lattice,gaussian_sensory,temporal_dropout,one_hot,0,0.36363636363636365,reservoir_diagonal,0.48484848484848486,0.12121212121212122
torus_lattice,gaussian_sensory,temporal_full,embedding,8,0.25,numpy_rnn,0.38636363636363635,0.13636363636363635
torus_lattice,gaussian_sensory,temporal_full,none,0,0.2954545454545454,numpy_rnn,0.34090909090909094,0.045454545454545525
torus_lattice,gaussian_sensory,temporal_full,one_hot,0,0.25,lin_sequence_front_bands_r3_l8,0.32575757575757575,0.07575757575757575
tree,gaussian_sensory,temporal_cue_then_blank,embedding,8,0.9666666666666667,lin_sequence_front_bands_r5_l8,0.9722222222222222,0.005555555555555536
tree,gaussian_sensory,temporal_cue_then_blank,none,0,0.9666666666666667,numpy_rnn,0.9722222222222222,0.005555555555555536
tree,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.9666666666666667,numpy_rnn,0.9722222222222222,0.005555555555555536
tree,gaussian_sensory,temporal_dropout,embedding,8,0.9722222222222222,lin_block_r1_l2,0.9722222222222222,0.0
tree,gaussian_sensory,temporal_dropout,none,0,0.9722222222222222,lin_block_r1_l2,0.9722222222222222,0.0
tree,gaussian_sensory,temporal_dropout,one_hot,0,0.9722222222222222,lin_block_r1_l2,0.9722222222222222,0.0
tree,gaussian_sensory,temporal_full,embedding,8,0.9722222222222222,lin_block_r1_l2,0.9722222222222222,0.0
tree,gaussian_sensory,temporal_full,none,0,0.9722222222222222,lin_block_r1_l2,0.9722222222222222,0.0
tree,gaussian_sensory,temporal_full,one_hot,0,0.9722222222222222,lin_block_r1_l2,0.9722222222222222,0.0
