obs_mode,temporal_mode,model,n_tasks,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem
hybrid,temporal_cue_then_blank,reservoir_random,11,0.5691998973248974,0.05740913816297835,0.23416305916305913,0.05723040868207286
hybrid,temporal_cue_then_blank,reservoir_sparse,11,0.5832648601398601,0.06471139244828675,0.2602813852813853,0.06888888171015281
hybrid,temporal_cue_then_blank,reservoir_symmetric,11,0.6027864496614497,0.06449482938450642,0.21764069264069263,0.055016019658627034
hybrid,temporal_dropout,lin_sequence_all_units_r3_l4,11,0.5173540348540349,0.053634068327981683,0.1925324675324675,0.05370481545383195
hybrid,temporal_dropout,lin_sequence_front_bands_r1_l2,11,0.5289450133200133,0.05364868107413437,0.19877344877344874,0.051454720700131504
hybrid,temporal_dropout,lin_sequence_front_bands_r1_l4,11,0.5419660894660895,0.05590536933962737,0.2088023088023088,0.05911097379966307
hybrid,temporal_dropout,lin_sequence_front_bands_r1_l8,11,0.6395258214008215,0.06507765985737773,0.18766233766233767,0.05083696336463365
hybrid,temporal_dropout,lin_sequence_front_bands_r3_l2,11,0.5550311494061494,0.04851562976074942,0.2236291486291486,0.06275577233653777
hybrid,temporal_dropout,lin_sequence_front_bands_r3_l4,11,0.5246597846597847,0.056592875310982976,0.18225108225108225,0.05158433477175049
hybrid,temporal_dropout,lin_sequence_front_bands_r3_l8,11,0.6631629481629482,0.059058261184509665,0.24426406926406924,0.0661056880190236
hybrid,temporal_dropout,lin_sequence_front_bands_r5_l2,11,0.5467510267510268,0.0541436898036299,0.1971500721500722,0.05464206773524656
hybrid,temporal_dropout,lin_sequence_front_bands_r5_l4,11,0.5784822816072815,0.05861045866141973,0.18668831168831168,0.045998189105730676
hybrid,temporal_dropout,lin_sequence_front_bands_r5_l8,11,0.6387110805860806,0.05538408690333667,0.22723665223665224,0.05402595041917442
hybrid,temporal_dropout,memoryless_linear,11,0.5714071345321345,0.06017998939036024,0.19664502164502162,0.062773790781307
hybrid,temporal_dropout,memoryless_mlp,11,0.5714071345321345,0.06017998939036024,0.19664502164502162,0.062773790781307
hybrid,temporal_dropout,numpy_rnn,11,0.6264693639693639,0.05151890669420603,0.07002164502164501,0.02761047139844998
hybrid,temporal_dropout,reservoir_block_hybrid,11,0.596792304917305,0.04994090330639284,0.20555555555555555,0.05694721599562244
hybrid,temporal_dropout,reservoir_diagonal,11,0.6260538073038072,0.04370222242379863,0.2323232323232323,0.05750527317751025
hybrid,temporal_dropout,reservoir_low_rank,11,0.528787185037185,0.053421051915010724,0.17795815295815295,0.048016957151975674
hybrid,temporal_dropout,reservoir_nilpotent,11,0.5915295121545122,0.06818732163449125,0.18715728715728713,0.04967700919637792
hybrid,temporal_dropout,reservoir_orthogonal,11,0.601444388944389,0.056910931261946233,0.17774170274170273,0.045252853676805385
hybrid,temporal_dropout,reservoir_oscillatory,11,0.5232381507381508,0.05559234214623446,0.1995670995670996,0.05592989873419799
hybrid,temporal_dropout,reservoir_random,11,0.5376151626151626,0.05465984524085278,0.1875180375180375,0.042863701452767314
hybrid,temporal_dropout,reservoir_sparse,11,0.5753500666000666,0.050146167971060016,0.208008658008658,0.051712546879990454
hybrid,temporal_dropout,reservoir_symmetric,11,0.6033003801753801,0.05392803686904376,0.20898268398268396,0.051566770049221264
hybrid,temporal_full,lin_sequence_all_units_r3_l4,11,0.6475400294150294,0.07087669004505694,0.24617604617604616,0.05860286292085609
hybrid,temporal_full,lin_sequence_front_bands_r1_l2,11,0.6762742812742814,0.055312697155827456,0.3072150072150072,0.08183420723568935
hybrid,temporal_full,lin_sequence_front_bands_r1_l4,11,0.6588362332112333,0.058398358909737554,0.25537518037518037,0.06307541330566867
hybrid,temporal_full,lin_sequence_front_bands_r1_l8,11,0.7827127733377733,0.06670191914351001,0.36994949494949486,0.10264379622350851
hybrid,temporal_full,lin_sequence_front_bands_r3_l2,11,0.6123915667665668,0.060791378885790094,0.27745310245310245,0.07083121261860283
hybrid,temporal_full,lin_sequence_front_bands_r3_l4,11,0.6951782245532245,0.06937844374324287,0.2737734487734487,0.06401409792026279
hybrid,temporal_full,lin_sequence_front_bands_r3_l8,11,0.7917143967143967,0.06524026105835619,0.3780303030303031,0.10380151794182904
hybrid,temporal_full,lin_sequence_front_bands_r5_l2,11,0.688103701853702,0.05995653290492833,0.26951659451659454,0.06666024195537319
hybrid,temporal_full,lin_sequence_front_bands_r5_l4,11,0.741707251082251,0.06890616432796276,0.3262987012987013,0.0889354536048
hybrid,temporal_full,lin_sequence_front_bands_r5_l8,11,0.774220571095571,0.06464176580652936,0.3521645021645022,0.0950517110126351
hybrid,temporal_full,memoryless_linear,11,0.7079412254412255,0.06335473543249101,0.29534632034632036,0.09026182947326183
hybrid,temporal_full,memoryless_mlp,11,0.7079412254412255,0.06335473543249101,0.29534632034632036,0.09026182947326183
hybrid,temporal_full,numpy_rnn,11,0.6669807276057277,0.06199123415018386,0.08755411255411255,0.035234644895270124
hybrid,temporal_full,reservoir_block_hybrid,11,0.7140041208791209,0.060734869906763335,0.3145382395382395,0.07408871834934795
hybrid,temporal_full,reservoir_diagonal,11,0.7319251581751582,0.059610779899466164,0.3068903318903319,0.07350875648260913
hybrid,temporal_full,reservoir_low_rank,11,0.6713557276057275,0.05860981455792484,0.34451659451659455,0.07670046776425896
hybrid,temporal_full,reservoir_nilpotent,11,0.7483084276834276,0.0643886830870369,0.32225829725829724,0.08233347560505466
hybrid,temporal_full,reservoir_orthogonal,11,0.7415966672216672,0.07190152547463857,0.35497835497835495,0.09167362160163299
hybrid,temporal_full,reservoir_oscillatory,11,0.6653018509268509,0.06376162841868808,0.3103174603174603,0.07155822368206016
hybrid,temporal_full,reservoir_random,11,0.6922838966588967,0.062225782684738364,0.3047979797979798,0.07068100168780773
hybrid,temporal_full,reservoir_sparse,11,0.681874444999445,0.057981733921724884,0.2950937950937951,0.06509588870775339
hybrid,temporal_full,reservoir_symmetric,11,0.6768364968364969,0.0639102393341661,0.30277777777777776,0.07616933554106717
sparse_aliased,temporal_cue_then_blank,lin_sequence_all_units_r3_l4,11,0.5183392995892996,0.06370506068147909,0.16345598845598844,0.04357564219952085
sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r1_l2,11,0.4820793789543789,0.07721458045615608,0.09274891774891776,0.045606964613192455
sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r1_l4,11,0.5328288378288378,0.07317513776363523,0.11998556998556999,0.04253510805746855
sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r1_l8,11,0.6576123876123877,0.08137440184765327,0.3227272727272727,0.10372537379081397
sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r3_l2,11,0.4953973803973804,0.07190724872754732,0.12113997113997113,0.04360003249841984
sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r3_l4,11,0.5284854034854034,0.06772706311666657,0.1821428571428571,0.04833667415717516
sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r3_l8,11,0.6604698773448774,0.0871600399864153,0.33333333333333337,0.1114282091359535
sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r5_l2,11,0.5059835997335997,0.06406371431989638,0.18578643578643578,0.05105494038028683
sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r5_l4,11,0.5860178710178711,0.07784673070144377,0.2526334776334776,0.06709459205128561
sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r5_l8,11,0.6439783827283827,0.08624183085057595,0.3271284271284271,0.10280585776868562
sparse_aliased,temporal_cue_then_blank,memoryless_linear,11,0.4829045954045954,0.06546816015962142,0.03560606060606061,0.022587956842235715
sparse_aliased,temporal_cue_then_blank,memoryless_mlp,11,0.4829045954045954,0.06546816015962142,0.03560606060606061,0.022587956842235715
sparse_aliased,temporal_cue_then_blank,numpy_rnn,11,0.5482307276057276,0.06038538553357382,0.062445887445887444,0.027689939078089545
sparse_aliased,temporal_cue_then_blank,reservoir_block_hybrid,11,0.5666645160395161,0.06826115906859562,0.23968253968253964,0.06606805389853804
