task,geometry,behavior_family,obs_mode,temporal_mode,model,sequence_r,sequence_l,sequence_ell,input_injection,n_runs,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem,context_accuracy_mean,context_accuracy_sem
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r5_l2,5,2,6,front_bands,9,0.4954248366013072,0.0036390616750522973,nan,0.0,0.48888888888888893,0.0044328954138073634
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r5_l4,5,4,8,front_bands,9,0.4993464052287582,0.003975661784508637,nan,0.0,0.5006535947712418,0.0034584984458360655
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r5_l8,5,8,12,front_bands,9,0.48235294117647065,0.0067923561081132434,nan,0.0,0.4901960784313726,0.006200544431702708
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,memoryless_linear,,,,,3,0.5058823529411764,0.0,nan,0.0,0.4901960784313726,0.0039215686274509855
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,memoryless_mlp,,,,,3,0.5058823529411764,0.0,nan,0.0,0.4901960784313726,0.0039215686274509855
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,numpy_rnn,,,,,3,0.5058823529411764,0.0,nan,0.0,0.4862745098039216,0.0039215686274509855
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,reservoir_block_hybrid,,,,all_units,9,0.47058823529411764,0.004384447014705475,nan,0.0,0.4771241830065359,0.00900918219090865
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,reservoir_diagonal,,,,all_units,9,0.5032679738562091,0.0026143790849673175,nan,0.0,0.5986928104575164,0.014731277999457053
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,reservoir_low_rank,,,,all_units,9,0.5045751633986928,0.007189542483660133,nan,0.0,0.4928104575163399,0.012469793482574447
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,reservoir_nilpotent,,,,all_units,9,0.48496732026143796,0.005809277396938292,nan,0.0,0.46143790849673194,0.009760251322266718
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,reservoir_orthogonal,,,,all_units,9,0.45228758169934635,0.00982568390743327,nan,0.0,0.45882352941176474,0.016287497770427598
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,reservoir_oscillatory,,,,all_units,9,0.4575163398692811,0.00886579082761473,nan,0.0,0.45359477124183,0.011944880315357563
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,reservoir_random,,,,all_units,9,0.47581699346405226,0.009825683907433273,nan,0.0,0.4862745098039215,0.008768894029410943
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,reservoir_sparse,,,,all_units,9,0.49673202614379086,0.0032679738562091452,nan,0.0,0.4745098039215686,0.0055459355387180225
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,reservoir_symmetric,,,,all_units,9,0.48758169934640516,0.0070998565301962175,nan,0.0,0.5437908496732027,0.017622834983938258
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_full,history_linear_h16,,,,,3,0.5058823529411764,0.0,nan,0.0,0.46274509803921565,0.007843137254901952
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_full,history_linear_h4,,,,,3,0.5058823529411764,0.0,nan,0.0,0.48235294117647065,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_full,history_linear_h64,,,,,3,0.7098039215686275,0.007843137254901971,nan,0.0,0.35294117647058826,0.0179708850782582
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_full,history_linear_h80,,,,,3,1.0,0.0,nan,0.0,0.5803921568627451,0.019607843137254905
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_full,lin_block_r1_l16,1,16,16,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.46274509803921565,0.007843137254901952
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_full,lin_block_r1_l4,1,4,4,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.48235294117647065,0.006792356108113253
