task,topology,aliasing,obs_mode,cue_visibility,temporal_mode,dataset_seed,model,state_dim,n_train,n_test,decision_fraction,action_accuracy,decision_accuracy
room_graph_bottleneck,bottleneck,low,vector,cue_gap,temporal_cue_then_blank,4011,lin_block_r3_l16,144,111,48,0.8958333333333334,0.6458333333333334,0.6046511627906976
room_graph_bottleneck,bottleneck,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,memoryless_linear,12,111,48,0.8958333333333334,0.625,0.5813953488372093
room_graph_bottleneck,bottleneck,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,history_h8,96,111,48,0.8958333333333334,0.6875,0.6511627906976745
room_graph_bottleneck,bottleneck,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,hybrid_vector_history_h8,104,111,48,0.8958333333333334,0.6875,0.6511627906976745
room_graph_bottleneck,bottleneck,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,numpy_rnn_h32,32,111,48,0.8958333333333334,0.625,0.5813953488372093
room_graph_bottleneck,bottleneck,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,reservoir_diagonal_h32,32,111,48,0.8958333333333334,0.7291666666666666,0.6976744186046512
room_graph_bottleneck,bottleneck,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,reservoir_nilpotent_h32,32,111,48,0.8958333333333334,0.5833333333333334,0.5348837209302325
room_graph_bottleneck,bottleneck,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,lin_block_r3_l16,216,111,48,0.8958333333333334,0.6666666666666666,0.627906976744186
room_graph_bottleneck,bottleneck,low,vector,cue_gap,temporal_cue_then_blank,4017,memoryless_linear,8,111,48,0.8958333333333334,0.6875,0.6511627906976745
room_graph_bottleneck,bottleneck,low,vector,cue_gap,temporal_cue_then_blank,4017,history_h8,64,111,48,0.8958333333333334,0.6041666666666666,0.5581395348837209
room_graph_bottleneck,bottleneck,low,vector,cue_gap,temporal_cue_then_blank,4017,hybrid_vector_history_h8,72,111,48,0.8958333333333334,0.8125,0.7906976744186046
room_graph_bottleneck,bottleneck,low,vector,cue_gap,temporal_cue_then_blank,4017,numpy_rnn_h32,32,111,48,0.8958333333333334,0.6875,0.6511627906976745
room_graph_bottleneck,bottleneck,low,vector,cue_gap,temporal_cue_then_blank,4017,reservoir_diagonal_h32,32,111,48,0.8958333333333334,0.7083333333333334,0.6744186046511628
room_graph_bottleneck,bottleneck,low,vector,cue_gap,temporal_cue_then_blank,4017,reservoir_nilpotent_h32,32,111,48,0.8958333333333334,0.5416666666666666,0.4883720930232558
room_graph_bottleneck,bottleneck,low,vector,cue_gap,temporal_cue_then_blank,4017,lin_block_r3_l16,144,111,48,0.8958333333333334,0.5208333333333334,0.46511627906976744
room_graph_bottleneck,bottleneck,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,memoryless_linear,12,111,48,0.8958333333333334,0.6875,0.6511627906976745
room_graph_bottleneck,bottleneck,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,history_h8,96,111,48,0.8958333333333334,0.6041666666666666,0.5581395348837209
room_graph_bottleneck,bottleneck,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,hybrid_vector_history_h8,104,111,48,0.8958333333333334,0.7916666666666666,0.7674418604651163
room_graph_bottleneck,bottleneck,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,numpy_rnn_h32,32,111,48,0.8958333333333334,0.6875,0.6511627906976745
room_graph_bottleneck,bottleneck,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,reservoir_diagonal_h32,32,111,48,0.8958333333333334,0.7083333333333334,0.6744186046511628
room_graph_bottleneck,bottleneck,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,reservoir_nilpotent_h32,32,111,48,0.8958333333333334,0.5625,0.5116279069767442
