task,basis,family,dim,delay,accuracy,target_norm,adjacent_lag_similarity
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,32,0.5358333333333334,0.03433683820292516,8.866371452729632e-16
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,36,0.5091666666666667,0.022528399544939195,2.1629407627719217e-16
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,40,0.4975,0.01478088294143461,-6.9088736138843e-16
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,44,0.5075,0.009697737297875245,6.484731058651133e-17
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,48,0.5266666666666666,0.00636268544113595,-1.1298301429250207e-16
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,52,0.5716666666666667,0.004174557917929297,1.749773450301468e-16
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,56,0.5183333333333333,0.002738927449953412,-1.2702575028170178e-16
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,60,0.47833333333333333,0.001797010299914434,5.440686808221412e-16
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,64,0.495,0.0011790184577738603,-1.060318418260343e-16
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,68,0.4691666666666667,0.0007735540101454296,1.3324503750416555e-15
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,72,0.5141666666666667,0.0005075287860564165,-1.7918975949118617e-16
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,76,0.5025,0.0003329896365316149,1.1010962145718337e-15
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,80,0.49583333333333335,0.00021847450052839255,-5.5369384917135e-16
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,84,0.48083333333333333,0.00014334111979667834,2.083382995790153e-16
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,88,0.5091666666666667,9.404610869860069e-05,-2.2094821775458703e-16
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,92,0.49916666666666665,6.170365191715192e-05,-2.0011629123861125e-16
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,96,0.4975,4.048376602284338e-05,7.816655502813039e-17
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,4,1.0,0.9605960100000002,4.024760200798911e-17
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,8,1.0,0.9227446944279203,8.39569365239768e-17
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,12,1.0,0.8863848717161291,-2.661274973914272e-16
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,16,1.0,0.8514577710948755,1.0659865795209581e-16
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,20,1.0,0.8179069375972305,-1.4889690142310106e-16
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,24,1.0,0.7856781408072184,7.511728349018818e-17
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,28,1.0,0.7547192872036326,4.884381385910376e-16
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,32,1.0,0.7249803359578534,-2.9407323941071116e-17
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,36,1.0,0.6964132180495736,3.5056344978751967e-16
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,40,1.0,0.6689717585696803,-3.7607629383912823e-16
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,44,1.0,0.6426116020847181,7.860137258343583e-16
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,48,1.0,0.6172901409422882,4.506991811825838e-18
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,52,1.0,0.5929664464014993,7.790510184747267e-16
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,56,1.0,0.5696012024771592,8.363359058345296e-16
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,60,1.0,0.5471566423907611,3.757365113547526e-16
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,64,1.0,0.5255964875255619,4.444946967006861e-16
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,68,1.0,0.5048858887870697,-3.7054561194095817e-17
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,72,1.0,0.4849913702741629,7.045709642750566e-16
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,76,1.0,0.46588077516979337,6.191561881218361e-16
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,80,1.0,0.4475232137638105,-5.455846087888341e-16
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,84,1.0,0.42988901352389347,1.3980054538048144e-15
