task,geometry,behavior_family,obs_mode,temporal_mode,model,sequence_r,sequence_l,sequence_ell,input_injection,n_runs,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem,context_accuracy_mean,context_accuracy_sem
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_dropout,lin_sequence_front_bands_r3_l8,3,8,10,front_bands,6,0.2833333333333334,0.03073181485764296,0.16666666666666666,0.04944132324730443,0.30000000000000004,0.05773502691896258
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_dropout,lin_sequence_front_bands_r5_l2,5,2,6,front_bands,6,0.3166666666666667,0.060092521257733164,0.3166666666666667,0.05426273532033237,0.3166666666666667,0.07923242882669809
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_dropout,lin_sequence_front_bands_r5_l4,5,4,8,front_bands,6,0.2833333333333334,0.07031674369909663,0.23333333333333336,0.042163702135578386,0.2833333333333334,0.060092521257733164
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_dropout,lin_sequence_front_bands_r5_l8,5,8,12,front_bands,6,0.3166666666666667,0.030731814857642967,0.23333333333333336,0.04944132324730443,0.26666666666666666,0.04944132324730442
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_full,lin_sequence_all_units_r3_l4,3,4,6,all_units,6,0.36666666666666664,0.06666666666666667,0.3166666666666667,0.05426273532033237,0.9833333333333334,0.016666666666666666
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_full,lin_sequence_front_bands_r1_l2,1,2,2,front_bands,6,0.4666666666666666,0.0557773351022717,0.7000000000000001,0.0894427190999916,1.0,0.0
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_full,lin_sequence_front_bands_r1_l4,1,4,4,front_bands,6,0.39999999999999997,0.05773502691896258,0.26666666666666666,0.04216370213557839,1.0,0.0
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_full,lin_sequence_front_bands_r1_l8,1,8,8,front_bands,6,0.38333333333333336,0.060092521257733164,0.3333333333333333,0.09189365834726816,0.85,0.05
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_full,lin_sequence_front_bands_r3_l2,3,2,4,front_bands,6,0.4666666666666666,0.049441323247304415,0.5166666666666667,0.030731814857642953,0.9833333333333334,0.016666666666666663
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_full,lin_sequence_front_bands_r3_l4,3,4,6,front_bands,6,0.3333333333333333,0.06146362971528592,0.3333333333333333,0.07149203529842406,0.9666666666666667,0.021081851067789193
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_full,lin_sequence_front_bands_r3_l8,3,8,10,front_bands,6,0.4166666666666667,0.10137937550497034,0.43333333333333335,0.105409255338946,0.8166666666666665,0.040138648595974324
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_full,lin_sequence_front_bands_r5_l2,5,2,6,front_bands,6,0.38333333333333336,0.060092521257733164,0.3166666666666667,0.060092521257733164,0.9166666666666666,0.05426273532033237
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_full,lin_sequence_front_bands_r5_l4,5,4,8,front_bands,6,0.3333333333333333,0.04944132324730442,0.2833333333333333,0.060092521257733164,0.9666666666666667,0.021081851067789193
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_full,lin_sequence_front_bands_r5_l8,5,8,12,front_bands,6,0.3666666666666667,0.03333333333333334,0.3833333333333333,0.05426273532033236,0.8833333333333333,0.08333333333333334
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_cue_then_blank,lin_sequence_all_units_r3_l4,3,4,6,all_units,6,0.3833333333333333,0.040138648595974324,0.21666666666666667,0.03073181485764296,0.1666666666666667,0.021081851067789197
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r1_l2,1,2,2,front_bands,6,0.2833333333333334,0.03073181485764296,0.4333333333333334,0.10852547064066471,0.19999999999999998,0.025819888974716113
