topology,aliasing,cue_visibility,model,state_dim,n_runs,action_accuracy_mean,action_accuracy_sem,decision_accuracy_mean,decision_accuracy_sem,decision_fraction_mean
loop_rich,low,persistent,history_h8,64,2,0.6290322580645161,0.048387096774193505,0.3571428571428571,0.07142857142857142,0.22580645161290322
loop_rich,low,persistent,hybrid_vector_history_h8,72,2,0.6290322580645161,0.048387096774193505,0.3571428571428571,0.07142857142857142,0.22580645161290322
loop_rich,low,persistent,lin_block_r3_l16,144,2,0.6129032258064516,0.0,0.42857142857142855,0.0,0.22580645161290322
loop_rich,low,persistent,memoryless_linear,8,2,0.5,0.016129032258064502,0.14285714285714285,0.14285714285714285,0.22580645161290322
loop_rich,low,persistent,numpy_rnn_h32,32,2,0.5161290322580645,0.0,0.2857142857142857,0.0,0.22580645161290322
loop_rich,low,persistent,reservoir_diagonal_h32,32,2,0.564516129032258,0.016129032258064557,0.14285714285714285,0.0,0.22580645161290322
loop_rich,low,persistent,reservoir_nilpotent_h32,32,2,0.6129032258064516,0.0,0.3571428571428571,0.07142857142857142,0.22580645161290322
tree_like,high,cue_gap,history_h8,96,2,0.375,0.017857142857142846,0.3201357466063348,0.0260180995475113,0.9196428571428572
tree_like,high,cue_gap,hybrid_vector_history_h8,104,2,0.5803571428571428,0.026785714285714246,0.5439291101055808,0.024698340874811427,0.9196428571428572
tree_like,high,cue_gap,lin_block_r3_l16,216,2,0.35714285714285715,0.03571428571428569,0.3005279034690799,0.04562594268476621,0.9196428571428572
tree_like,high,cue_gap,memoryless_linear,12,2,0.3303571428571429,0.008928571428571423,0.330316742081448,0.02262443438914027,0.9196428571428572
tree_like,high,cue_gap,numpy_rnn_h32,32,2,0.3125,0.0267857142857143,0.3207013574660633,0.032239819004524904,0.9196428571428572
tree_like,high,cue_gap,reservoir_diagonal_h32,32,2,0.4375,0.008928571428571452,0.4272247360482655,0.004147812971342396,0.9196428571428572
tree_like,high,cue_gap,reservoir_nilpotent_h32,32,2,0.3125,0.008928571428571452,0.2914781297134238,0.022247360482654605,0.9196428571428572
tree_like,high,persistent,history_h8,96,2,0.7232142857142857,0.008928571428571397,0.7232142857142857,0.008928571428571397,1.0
tree_like,high,persistent,hybrid_vector_history_h8,104,2,0.7767857142857142,0.044642857142857144,0.7767857142857142,0.044642857142857144,1.0
